Land,Water,Mixed,Plant,Animal,Magic,Ingredient,Vigour,Spirit,Soph,X Vig,+ Vig,X Spirit,+ Spirit,X Soph,+ Soph,Items,Land,Water,Mixed,Plant,Animal,Magic
1,0,0,1,0,0,Apple,6,4,5,0,9,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,Apple Wood,2,2,2,0,0,0,8,0,0,Erwin Wood,0,0,0,0,0,0
0,1,0,0,1,0,Biclopus,6,6,13,0,10,0,10,0,0,0,1,0,0,0,0,1
0,1,0,0,0,1,Boltuna,2,11,7,0,0,0,0,0,15,0,0,0,1,1,0,0
0,1,0,0,0,1,Boltuna,2,11,7,0,0,0,15,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,Breaded Erwin,18,2,10,0,0,0,0,0,28,Depths Crab,0,0,0,0,0,0
0,0,1,0,0,1,Breaded Erwin,18,2,10,0,28,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,1,Breaded Spider Leg,32,15,13,0,0,0,35,0,35,0,0,1,0,0,1,0
0,0,1,0,0,1,Breaded Spider Leg,32,15,13,4,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,Carrot,2,5,3,0,0,0,5,0,0,Empty,0,0,0,0,0,0
1,0,0,0,1,0,Cow Meat,11,6,3,0,0,0,18,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,Crab,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,Cucumber Squid,9,8,8,0,0,0,0,0,20,Empty,0,0,0,0,0,0
0,1,0,0,1,0,Depths Crab,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,Dragon Egg,34,25,21,0,40,0,40,0,0,Empty,0,0,0,0,0,0
1,0,0,0,0,1,Dragon Egg,34,25,21,0,80,0,0,0,60,0,0,1,0,0,0,1
1,0,0,0,0,1,Dragon Egg,34,25,21,4,0,0,0,3.6,0,0,0,1,0,0,1,0
0,1,0,0,1,0,Epic Blowfish,24,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,Erwin Wood,3,3,3,0,0,0,27,0,0,Empty,0,0,0,0,0,0
1,0,0,1,0,0,Erwin Wood,6,9,5,0,20,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,0,1,Ethereal Katsuobushi,20,30,20,0,0,2.8,0,2.8,0,Spider Silk,0,0,0,0,0,0
0,0,1,0,0,1,Ethereal Katsuobushi,20,30,20,0,0,0,38,0,0,0,1,0,0,0,0,1
0,0,1,0,0,1,Ethereal Katsuobushi,20,30,20,2,0,2,0,2,0,0,0,0,1,1,0,0
1,0,0,0,0,1,Evil mandragora,9,8,3,1.8,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,1,Fire Goldfish,9,3,8,0,0,1.8,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,Ghostato,0,8,12,0,0,0,0,0,15,Rice,0,0,0,0,0,0
0,0,1,0,0,1,Ghostato,0,8,12,0,0,0,0,0,30,Empty,0,0,0,0,0,0
0,1,0,0,0,1,Golden Jellyfish,13,13,14,0,9,0,16,0,13,Empty,0,0,0,0,0,0
0,1,0,0,0,1,Golden Jellyfish,13,13,14,0,0,3,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,Gomera Meat,7,27,16,0,30,0,0,0,25,Empty,0,0,0,0,0,0
1,0,0,0,1,0,Gomera Meat,7,27,16,0,0,0,0,0,35,0,0,0,1,0,1,0
1,0,0,0,1,0,Gomera Shell,14,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,Ground Beef,12,12,8,0,0,2,0,0,0,Crab,0,0,0,0,0,0
0,0,1,0,1,0,Ground Beef,12,12,8,0,15,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,Hypnofish,11,7,17,0,30,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,King Squid,21,25,4,2.4,0,2,0,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,King Squid,21,25,4,0,0,0,0,0,45,0,0,0,1,1,0,0
0,1,0,0,1,0,Legendary Crab,20,12,13,0,40,0,0,0,0,Mugle Carp,0,0,0,0,0,0
0,1,0,0,1,0,Legendary Crab,20,12,13,0,0,0,0,2.5,25,0,1,0,0,0,0,1
1,0,0,0,1,0,Milk,5,3,7,0,0,0,0,1.6,0,0,1,0,0,1,0,0
0,1,0,0,1,0,Mud Eel,2,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,Mugle Carp,8,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,Mushroom,1,1,3,0,0,0,10,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,Pangun Egg,9,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,Pangun Ghost,6,13,21,0,0,3.6,0,0,50,Hypnofish,0,0,0,0,0,0
0,0,1,0,0,1,Pangun Ghost,6,13,21,2,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,1,0,Pangun Meat,14,12,4,0,30,0,0,0,0,Empty,0,0,0,0,0,0
1,0,0,0,1,0,Pangun Meat,14,12,4,0,0,0,25,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,Pink Dough,13,11,11,0,0,2,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,Pink Dough,13,11,11,0,0,2,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,Pink Dough,13,11,11,0,0,0,0,1.8,0,0,0,0,1,0,1,0
1,0,0,1,0,0,Potato,2,3,5,0,0,0,0,0,5,Tomato,0,0,0,0,0,0
0,1,0,0,1,0,Queen Carp,14,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,Rat,4,1,0,1.5,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,Rice,1,3,6,0,0,0,5,0,0,0,0,0,1,1,0,0
0,0,1,1,0,0,Rice Pasta,1,18,11,0,0,0,32,0,0,Empty,0,0,0,0,0,0
0,0,1,1,0,0,Rice Pasta,1,18,11,0,0,0,0,2.5,0,0,0,1,0,0,0,1
0,1,0,0,1,0,Royal Eel,2,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,Sand Blowfish,3,19,13,0,0,0,0,0,30,Empty,0,0,0,0,0,0
1,0,0,0,1,0,Seagull Egg,3,2,0,0,0,0,7,0,0,Potato,0,0,0,0,0,0
1,0,0,0,1,0,Seagull Egg,3,2,0,0,0,0,40,0,0,0,0,0,1,0,0,1
0,1,0,1,0,0,Seaweed,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,Special Dough,4,8,3,0,7,0,0,0,0,Empty,0,0,0,0,0,0
0,0,1,1,0,0,Special Dough,4,8,3,0,0,0,0,2.4,0,0,0,1,0,0,0,1
1,0,0,0,0,1,Spider Flesh,15,23,12,0,12,0,9,0,10,Empty,0,0,0,0,0,0
1,0,0,0,0,1,Spider Flesh,15,23,12,2,15,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,Spider Silk,14,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,Strawberry Jellyfish,20,11,9,0,0,2.4,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,Strawberry Jellyfish,20,11,9,0,0,0,0,2,20,0,1,0,0,0,0,1
0,0,1,0,1,0,Surimi,6,13,6,0,27,0,0,0,0,Mud Eel,0,0,0,0,0,0
0,0,1,0,1,0,Surimi,6,13,6,0,0,0,0,1.9,0,0,0,1,0,0,1,0
0,1,0,0,0,1,Sweet Cuttlefish,14,19,7,2.4,0,1.8,0,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,Thunander,15,15,25,0,0,0,37,0,0,Empty,0,0,0,0,0,0
0,1,0,0,1,0,Thunander,15,15,25,0,20,3.2,0,0,0,0,1,0,0,0,1,0
0,1,0,0,1,0,Toasted Cuttlefish,16,11,28,0,50,0,0,0,0,Queen Carp,0,0,0,0,0,0
0,1,0,0,1,0,Toasted Cuttlefish,16,11,28,3,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,Tomato,6,2,2,0,5,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,Triclopus,18,18,14,0,35,0,0,0,0,Empty,0,0,0,0,0,0
0,1,0,0,0,1,Triclopus,18,18,14,0,0,0,0,3.4,0,0,1,0,0,0,0,1
1,0,0,0,0,1,Unicorn Bacon,12,6,17,0,0,0,12,0,0,Empty,0,0,0,0,0,0
1,0,0,0,0,1,Unicorn Bacon,12,6,17,2.2,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,Unicorn Delight,10,16,9,0,0,0,0,3,0,Mugle Carp,0,0,0,0,0,0
1,0,0,0,0,1,Unicorn Delight,10,16,9,0,0,0,27,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,Wood,1,1,1,0,0,0,5,0,0,Apple Wood,0,0,0,0,0,0
